,R,AB,H,2B,3B,TB,HR,RBI,BB,HBP,SF,SH,K,OPP DP,CS,Picked,SB,IBB,GDP,date,field,season_id,opponent_id,opponent_name,innings_played,extras,runs_scored,runs_allowed,run_difference,result,game_id,school_id,season,division,PA,1B,OBP,BA,SLG,OPS,ISO,HR/PA,K/PA,BB/PA,K/BB,BABIP,wOBA,wRAA,wRC,team
2,5,35,8,1,0,9,0,5,7,1,1,1,15,0,0,0,3,0,0,02/19/2023,home,16340,786,William & Mary,10,True,5,4,1,win,2391024,406,2023,1,45,7,0.356,0.229,0.257,0.613,0.028,0.0,0.333,0.156,2.143,0.381,0.317,-2.297,4.768,406
3,21,44,17,4,0,30,3,20,7,6,2,0,10,1,0,0,0,0,0,02/21/2023,away,16340,228,Florida A&M,9,True,21,5,16,win,2391170,406,2023,1,59,10,0.508,0.386,0.682,1.19,0.296,0.051,0.169,0.119,1.429,0.424,0.525,9.517,18.78,406
4,8,49,12,1,0,19,2,8,7,1,1,2,14,0,1,0,1,2,0,02/22/2023,away,16340,228,Florida A&M,13,True,8,7,1,win,2391237,406,2023,1,58,9,0.379,0.245,0.388,0.767,0.143,0.034,0.241,0.121,2.0,0.294,0.347,-1.184,7.922,406
0,5,33,6,1,0,16,3,4,3,3,0,0,9,1,0,0,0,0,1,02/17/2023,home,16340,539,Penn St.,9,True,5,9,-4,loss,2390271,415,2023,1,39,2,0.308,0.182,0.485,0.793,0.303,0.077,0.231,0.077,3.0,0.143,0.357,-0.398,5.725,415
1,10,33,9,1,0,22,4,9,9,1,0,0,7,1,0,0,0,0,1,02/18/2023,home,16340,539,Penn St.,9,True,10,2,8,win,2390514,415,2023,1,43,4,0.442,0.273,0.667,1.109,0.394,0.093,0.163,0.209,0.778,0.227,0.486,5.224,11.975,415
2,3,33,9,0,0,12,1,3,6,0,0,0,7,1,1,0,1,0,0,02/19/2023,home,16340,539,Penn St.,9,True,3,2,1,win,2390831,415,2023,1,39,8,0.385,0.273,0.364,0.749,0.091,0.026,0.179,0.154,1.167,0.32,0.366,-0.04,6.083,415
3,11,38,13,3,0,25,3,11,3,2,0,0,9,0,1,0,1,0,0,02/21/2023,home,16340,678,Stetson,9,True,11,2,9,win,2391095,415,2023,1,43,7,0.419,0.342,0.658,1.077,0.316,0.07,0.209,0.07,3.0,0.385,0.476,4.785,11.536,415
4,9,29,9,3,1,26,4,9,6,1,0,0,6,0,1,2,0,0,0,02/22/2023,home,16340,305,Indiana St.,9,True,9,3,6,win,2391247,415,2023,1,36,1,0.444,0.31,0.897,1.341,0.587,0.111,0.167,0.167,1.0,0.263,0.554,6.873,12.525,415
0,12,36,10,2,0,24,4,12,11,3,0,0,14,0,1,1,2,0,0,02/17/2023,away,16340,255,Georgia Tech,9,True,12,15,-3,loss,2390272,414,2023,1,50,4,0.48,0.278,0.667,1.147,0.389,0.08,0.28,0.22,1.273,0.333,0.507,7.147,14.997,414
1,4,34,7,1,0,14,2,4,1,1,0,0,10,2,0,0,1,0,1,02/18/2023,away,16340,255,Georgia Tech,9,True,4,5,-1,loss,2390515,414,2023,1,36,4,0.25,0.206,0.412,0.662,0.206,0.056,0.278,0.028,10.0,0.227,0.296,-2.609,3.043,414
2,8,39,13,7,0,29,3,8,1,1,0,0,6,2,0,0,0,0,2,02/19/2023,away,16340,255,Georgia Tech,9,True,8,16,-8,loss,2390832,414,2023,1,41,3,0.366,0.333,0.744,1.11,0.411,0.073,0.146,0.024,6.0,0.333,0.476,4.563,11.0,414
